File description:;geoCore input file containing general project information;;;;;;;;
File purpose:;Provide asset project and parent development area metadata, coordinate reference system, and boundary coordinates;;;;;;;;
File naming:;"""input_project_{area_code}.csv""";;;;;;;;
File format:;"Shall be saved as a semi-colon delimited, "".csv"" file";;;;;;;;
File location:;"Shall be saved in the Geolog directory: ""G:\01_Departments\GTSC\Geolog\projects\{area_code}\data\input_files""";;;;;;;;
Supporting documentation:;See geodb-connect repository documentation for furthe rinformation and mappings on to geoCore tables;;;;;;;;
;;;;;;;;;
***revision_history;;;;;;;;;
date;author;accuracy_level;checked;QA_level;document_number;reviewed;accepted;restrictions;changelog
20260720;JONWH;3;JONWH;1;;;;;First version
;;;;;;;;;
:datum;horizontal datum adopted in the CRS;;;;;;;;
:map_projection;map projection;;;;;;;;
:horizontal_unit;horizontal units;;;;;;;;
:horizontal_unit.choice;m;meters (applicable to projected CRS);;;;;;;
:horizontal_unit.choice;DMS;degrees:minutes:seconds (applicable to geographic CRS - to be avoided);;;;;;;
:EPSG_code_vertical;unique 4 to 6 digit number that defines the parameters of the adopted vertical CRS;;;;;;;;
:vertical_datum;vertical datum;;;;;;;;
:vertical_unit;vertical units;;;;;;;;
:vertical_unit.choice;m;meters;;;;;;;
;;;;;;;;;
**array_area_coordinates;;;;;;;;;
HEW01;;;;;;;;;
index;eastings;northings;;;;;;;
-;m;m;;;;;;;
0;680433;6247210;;;;;;;
1;664326;6256983;;;;;;;
2;675002;6274480;;;;;;;
3;677460;6278554;;;;;;;
4;679510;6254602;;;;;;;
5;683606;6249200;;;;;;;
6;680433;6247210;;;;;;;
;;;;;;;;;
**array_area_coordinates;;;;;;;;;
HEW02;;;;;;;;;
index;eastings;northings;;;;;;;
-;m;m;;;;;;;
0;664326;6256983;;;;;;;
1;680400;6247230;;;;;;;
2;667356;6245357;;;;;;;
3;661231;6241793;;;;;;;
4;655523;6241583;;;;;;;
5;658472;6247391;;;;;;;
6;664326;6256983;;;;;;;
;;;;;;;;;
::array_area_coordinates;asset project's WTG array area boundary coordinates;;;;;;;;
:index;;;;;;;;;
:eastings;eastings coordinate (in metres);;;;;;;;
:northings;northings coordinate (in metres);;;;;;;;
;;;;;;;;;
**export_cable_route_coordinates;;;;;;;;;
HEW01;;;;;;;;;
index;eastings;northings;;;;;;;
-;m;m;;;;;;;
0;-100000000;-100000000;;;;;;;
1;-100000000;100000000;;;;;;;
2;100000000;100000000;;;;;;;
3;100000000;-100000000;;;;;;;
4;-100000000;-100000000;;;;;;;
;;;;;;;;;
**export_cable_route_coordinates;;;;;;;;;
HEW02;;;;;;;;;
index;eastings;northings;;;;;;;
-;m;m;;;;;;;
0;-100000000;-100000000;;;;;;;
1;-100000000;100000000;;;;;;;
2;100000000;100000000;;;;;;;
3;100000000;-100000000;;;;;;;
4;-100000000;-100000000;;;;;;;
;;;;;;;;;
::export_cable_route_coordinates;asset project's export cable route corridor boundary coordinates;;;;;;;;
:index;;;;;;;;;
:eastings;eastings coordinate (in metres);;;;;;;;
:northings;northings coordinate (in metres);;;;;;;;
